Parameter,Resolution,Video,Average FPS,Total Gaussian Time,Total Tracking Time,Total Processing Time
Alpha-0.001,1080p,Traffic1,2.2456647550517324,534.0215760847204,50.91556987672806,740.1883005322306
Alpha-0.001,1080p,Traffic2,2.184334871814564,829.5831719876151,223.97865004057525,1317.38428126293
Alpha-0.001,1080p,Traffic3,1.9140326716770157,285.8361061295145,66.24990898341638,442.40171021426795
Alpha-0.001,1080p,Traffic4,1.8877608125114878,191.15974881028524,46.95627621799939,299.77514073619386
Alpha-0.001,1080p,Traffic5,2.0309357103560215,621.0455273481784,66.94519827829203,846.4328769657295
Alpha-0.001,120p,Traffic1,241.6835286504958,5.02227566781215,0.6799372427630561,8.745053011982177
Alpha-0.001,120p,Traffic2,231.11443187835266,7.919745542807414,2.1638837943900406,15.03328362130551
Alpha-0.001,120p,Traffic3,227.49009883963964,2.3734990643569933,0.5512448709341422,4.283338594832432
Alpha-0.001,120p,Traffic4,232.7276291447908,1.5188255922985094,0.3659132928005246,2.8323675196152007
Alpha-0.001,120p,Traffic5,254.32348026922753,4.838458807906075,0.7818573286057764,8.208543001441223
Alpha-0.001,1440p,Traffic1,1.4382463878820417,834.8187605444691,87.88424993457733,1168.304270655266
Alpha-0.001,1440p,Traffic2,1.6186884942396325,1123.7298280596733,322.8539238500525,1770.883083102468
Alpha-0.001,1440p,Traffic3,1.1309175104697393,474.82704518630635,116.49208332056878,730.8312687635771
Alpha-0.001,1440p,Traffic4,1.069171483995178,333.9036047963309,89.76108955318341,526.576478721865
Alpha-0.001,1440p,Traffic5,1.49701122492113,822.8496705221478,97.24129207059735,1145.1600610699388
Alpha-0.001,2160p,Traffic1,0.8075172762354144,1484.9302549209679,169.51597378717267,2064.724675222067
Alpha-0.001,2160p,Traffic2,0.8177243865258218,2205.3238804063876,1142.459017858724,3974.80911704927
Alpha-0.001,2160p,Traffic3,0.6632811827682614,802.0550593964872,237.7905471107806,1291.6281051607803
Alpha-0.001,2160p,Traffic4,0.6004722088770921,581.6588202569401,192.64162541733822,959.3317271608976
Alpha-0.001,2160p,Traffic5,0.8618828279503191,1411.567832911911,175.5284233260317,1921.354894332646
Alpha-0.001,240p,Traffic1,47.61685631077894,25.54085210838815,3.0212149098514915,37.89383382746013
Alpha-0.001,240p,Traffic2,44.913236019516596,40.55679313308784,8.466892243653913,63.753787104622376
Alpha-0.001,240p,Traffic3,44.14469144727829,12.103673764388052,2.2001337764085935,19.28505378385305
Alpha-0.001,240p,Traffic4,44.97138747268489,7.787968752556464,1.6873703903402029,12.879936837241967
Alpha-0.001,240p,Traffic5,48.26230210964633,25.481912794813923,2.421677245874829,36.481276450504026
Alpha-0.001,360p,Traffic1,20.767323742227582,58.07129834254732,6.03708434361027,81.47751190245611
Alpha-0.001,360p,Traffic2,19.555442970059612,93.12500700727097,20.785563230456233,144.14295985881466
Alpha-0.001,360p,Traffic3,19.52355623556857,27.37367682944748,5.305830506666072,42.31599894061217
Alpha-0.001,360p,Traffic4,19.51056102652969,18.03278469672658,4.055182462499925,28.905573418654953
Alpha-0.001,360p,Traffic5,20.774743883484206,59.23241005575977,5.561048143135789,81.03857311396854
Alpha-0.001,480p,Traffic1,11.41854420837827,105.51056498812972,10.021860616397985,148.14624165050913
