Resolution,Traffic,K,A,T,M,ParamSweep Path,OpenCV Path,Otsu Path,SSIM OpenCV AVG,SSIM OpenCV Var,SSIM OpenCV Med,SSIM Otsu AVG,SSIM Otsu Var,SSIM Otsu Med,Frames Compared,Traffic Video,Method
120p,Traffic1,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K4\A0.1_\T0.9\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7241,0.1379,0.9502,0.8755,0.0067,0.8755,5,Traffic1,Otsu
120p,Traffic2,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic2\K4\A0.1_\T0.9\M3\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic2\Traffic2-Mask.mp4,0.6947,0.122,0.8382,0.8147,0.0096,0.7892,5,Traffic2,Otsu
120p,Traffic3,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic3\K4\A0.1_\T0.9\M3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic3\Traffic3-Mask.mp4,0.6895,0.1193,0.8517,0.8066,0.0106,0.7754,5,Traffic3,Otsu
120p,Traffic4,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K4\A0.1_\T0.9\M3\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic4\Traffic4-Mask.mp4,0.5728,0.098,0.6126,0.6401,0.0366,0.5503,5,Traffic4,Otsu
120p,Traffic5,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K4\A0.1_\T0.9\M3\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic5\Traffic5-Mask.mp4,0.7738,0.1497,0.9618,0.8444,0.0061,0.8134,5,Traffic5,Otsu
120p,Traffic1,K3,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.1_\T0.9\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.7386,0.1426,0.9654,0.908,0.0043,0.9147,5,Traffic1,Otsu
120p,Traffic2,K3,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic2\K3\A0.1_\T0.9\M4\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic2\Traffic2-Mask.mp4,0.7139,0.1285,0.8572,0.9003,0.0029,0.879,5,Traffic2,Otsu
120p,Traffic3,K2,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic3\K2\A0.1_\T0.9\M4\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic3\Traffic3-Mask.mp4,0.7429,0.1381,0.9295,0.9291,0.0014,0.9162,5,Traffic3,Otsu
120p,Traffic4,K2,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic4\K2\A0.1_\T0.9\M4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic4\Traffic4-Mask.mp4,0.7859,0.0756,0.85,0.7586,0.0144,0.7063,10,Traffic4,Otsu
120p,Traffic5,K2,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic5\K2\A0.1_\T0.9\M4\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic5\Traffic5-Mask.mp4,0.7911,0.1565,0.9812,0.8763,0.0038,0.845,5,Traffic5,Otsu
