Best Settings Category,Category,Use Object Detection,Refresh Index,Resolution,Traffic Video,K,A,T,M,Raw Size (Bytes),Compressed Size (Bytes)
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic3,2,0.1,0.9,4,771679,346009
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic4,2,0.1,0.9,4,772620,241398
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic3,2,0.1,0.9,5,771679,347153
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic1,3,0.01,0.9,3,1113249,1099538
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic1,3,0.01,0.9,4,1113249,1043959
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic1,3,0.01,0.9,5,1113249,1035949
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic4,3,0.1,0.7,5,772620,266754
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic2,4,0.01,0.9,3,2314079,2468573
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic2,4,0.01,0.9,5,2314079,2096635
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic3,4,0.1,0.9,3,771679,421681
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic4,4,0.1,0.9,3,772620,327477
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic5,4,0.1,0.9,3,670191,500319
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic2,4,0.1,0.9,4,2314079,1484118
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic5,4,0.1,0.9,4,670191,426885
Best-OpenCV-Settings,Category-NA,False,0,120p,Traffic5,4,0.1,0.9,5,670191,421348
Best-OpenCV-Settings,Category-NA,False,0,240p,Traffic1,3,0.01,0.9,3,4026900,4054231
Best-OpenCV-Settings,Category-NA,False,0,240p,Traffic1,3,0.01,0.9,4,4026900,3961443
Best-OpenCV-Settings,Category-NA,False,0,240p,Traffic1,3,0.01,0.9,5,4026900,3887038
Best-OpenCV-Settings,Category-NA,False,0,240p,Traffic3,3,0.1,0.9,4,3734983,1733257
