Parameter,Resolution,Video,Average FPS,Total Gaussian Time,Total Tracking Time,Total Processing Time
Morph-0,1080p,Traffic1,3.2004484127635258,375.3571057081572,64.83701970550459,611.668719135283
Morph-0,1080p,Traffic2,2.685625950517789,698.4230028011953,608.2136209683958,1660.3266860730364
Morph-0,1080p,Traffic3,3.161677623115547,167.67644094722345,101.72134490963072,352.92984355590306
Morph-0,1080p,Traffic4,2.6352739559541316,138.9060123412055,66.22735678055324,278.02480252145324
Morph-0,1080p,Traffic5,2.734761643261239,469.269616990583,88.92067354696331,735.0490985843353
Morph-0,120p,Traffic1,345.81330968718476,3.505862710706364,0.8868493834742688,7.583468310476688
Morph-0,120p,Traffic2,321.7130788812432,5.923886834119825,2.650963159452567,15.198665207018989
Morph-0,120p,Traffic3,308.02953748614914,1.8753874184330646,0.772018723306221,4.694444605789586
Morph-0,120p,Traffic4,287.52937238533275,1.342677817388886,0.6918388478806997,3.758319084939995
Morph-0,120p,Traffic5,346.82531575883075,3.6295161183224365,0.8500575420329677,7.782710696861551
Morph-0,1440p,Traffic1,1.745345499685608,688.247173777665,153.76731306628784,1141.966663039755
Morph-0,1440p,Traffic2,1.9777397962019314,928.4613098427071,984.7753705593641,2354.9769791483996
Morph-0,1440p,Traffic3,1.7138151713066376,310.3748986389837,279.6488980217837,744.8085147209349
Morph-0,1440p,Traffic4,1.4405589422169467,250.9413818162866,159.56236412323778,532.0017527923337
Morph-0,1440p,Traffic5,1.7506724652543746,702.9942739250837,241.12870601820757,1211.119150840561
Morph-0,2160p,Traffic1,0.9618699837886715,1256.0825509183924,522.7460221815854,2363.4834503341117
Morph-0,2160p,Traffic2,1.106218261748234,1634.3254913244164,1122.7139632285107,3535.7666575080366
Morph-0,2160p,Traffic3,0.8318229773846464,637.105921143142,949.2851795711322,1945.0000733598717
Morph-0,2160p,Traffic4,0.68528853594838,514.1143879557494,600.802098862303,1372.2323692291975
Morph-0,2160p,Traffic5,1.0129687125216487,1220.8863772816258,830.5139489566209,2529.839720775024
Morph-0,240p,Traffic1,59.738525449018006,20.313462175778056,3.020078959292671,34.418407161603625
Morph-0,240p,Traffic2,53.68217589262193,36.682562063739084,7.660224797669709,66.38561895024023
Morph-0,240p,Traffic3,48.84630947659731,12.21533371991243,4.419831148232307,25.042941506486365
Morph-0,240p,Traffic4,56.25439167732656,6.435626340331492,2.1925586710567417,13.063883841619809
Morph-0,240p,Traffic5,51.4390874473887,26.456390558334476,3.2243389226495625,43.793480155407394
Morph-0,360p,Traffic1,26.023875456137105,48.1819932305952,6.378224807674937,76.91453266452294
Morph-0,360p,Traffic2,25.105433004111802,75.15107508026986,17.333788200921756,130.20912212750403
Morph-0,360p,Traffic3,23.074782473136157,25.139226284809386,9.425246678350932,48.358475450484534
Morph-0,360p,Traffic4,22.319177175306763,17.125527418800615,5.644333621778044,32.44435031822648
Morph-0,360p,Traffic5,24.835426383047395,52.525882609770576,5.610759576607902,79.01136887713795
Morph-0,480p,Traffic1,14.362516539291294,87.12101402797265,11.864085671957524,142.74055331677658
Morph-0,480p,Traffic2,13.979518141403815,135.48937433277018,35.77427673194316,245.19711754622398
Morph-0,480p,Traffic3,13.50245414198266,41.640480886795544,17.39993754122404,82.57618218311109
Morph-0,480p,Traffic4,12.802394138646223,29.069940414279685,9.817279396520446,55.633714487892576
Morph-0,480p,Traffic5,14.49429403886213,88.54571634350572,10.388384940393674,137.31032632931596
Morph-0,720p,Traffic1,7.330011479256009,163.49123625649366,23.022808136418405,260.1997920611175
Morph-0,720p,Traffic2,6.119631042652879,311.3534759695176,126.13999258686083,598.403631295485
Morph-0,720p,Traffic3,7.07983761935726,75.00993435946293,31.057195091387232,145.34458635438932
Morph-0,720p,Traffic4,5.703153090948663,65.20450251252623,25.1262087994255,125.48304710059892
Morph-0,720p,Traffic5,6.5658453107307535,191.74543879338304,27.88602010684548,298.74003055819776
Morph-3,1080p,Traffic1,2.2857506458463486,524.570158036775,47.33150929695688,718.7790733433212
Morph-3,1080p,Traffic2,1.9900129337124697,931.1435661527212,233.66227746522048,1435.8441818440915
Morph-3,1080p,Traffic3,2.206448479276538,239.9150976939709,92.57688154903008,412.87031285563717
Morph-3,1080p,Traffic4,1.829797995908308,202.01760889892466,55.48381279816385,325.45627451350447
Morph-3,1080p,Traffic5,2.0132358285483605,626.4406741092098,71.75986394606292,866.3776060844539
Morph-3,120p,Traffic1,216.84367224138862,5.8849730756482455,0.6193612660862837,11.120409252704063
Morph-3,120p,Traffic2,206.55771990004,9.452172606193837,1.5490019207935837,18.601578554836948
Morph-3,120p,Traffic3,162.12237391991806,3.595641226915151,0.3901324159814708,7.452905415091639
Morph-3,120p,Traffic4,146.6028861345467,2.5917679689591595,0.4268163372762321,5.5086937345331375
Morph-3,120p,Traffic5,192.29655760297763,7.056920391973048,0.730846484133449,12.927113239944386
Morph-3,1440p,Traffic1,1.366994856524302,877.4128571138717,100.26717198576074,1246.3012508684187
Morph-3,1440p,Traffic2,1.5365436253876268,1189.735864890914,494.22587669442873,2027.0316466319491
Morph-3,1440p,Traffic3,1.206934642288924,439.4866584890988,214.3852181074908,801.7306608851068
Morph-3,1440p,Traffic4,1.0541798812079906,339.7189769538236,115.14903896744363,567.9829431420076
Morph-3,1440p,Traffic5,1.331259210541513,917.880983603478,181.72204759495796,1328.065859911847
Morph-3,2160p,Traffic1,0.7355322227977676,1636.691274887009,283.5953936621663,2400.55983620591
Morph-3,2160p,Traffic2,0.8307051063052523,2170.6471977623296,1900.347725226893,4644.07515004935
Morph-3,2160p,Traffic3,0.6138106225408048,862.4961460294435,666.1607754718862,1835.3201682839426
Morph-3,2160p,Traffic4,0.5566626767317298,625.8906148529495,309.63203638163395,1157.6233911636518
Morph-3,2160p,Traffic5,0.794570054523708,1541.9584580003866,579.7038922212087,2521.7032947176485
Morph-3,240p,Traffic1,37.05095404397577,35.945253083540535,2.9846042743301364,52.61306617560325
Morph-3,240p,Traffic2,41.6447492891131,45.165493669919584,5.314676232112016,67.38686516002045
Morph-3,240p,Traffic3,40.395732432979145,13.546773170994104,1.8809648401802144,21.185978118388427
Morph-3,240p,Traffic4,40.43434028770283,8.902475536335245,1.8089508351986123,14.703653801465391
Morph-3,240p,Traffic5,44.218261417212844,28.261132834304533,2.071811050700429,40.08824274694774
Morph-3,360p,Traffic1,18.325330044727394,68.3227159949601,5.208818793296755,93.1583383874385
Morph-3,360p,Traffic2,17.2634609839984,112.59708337188923,12.831503879395225,160.15551242663054
Morph-3,360p,Traffic3,16.873065811372143,33.441359371703555,5.9204549306886936,50.78981323452898
Morph-3,360p,Traffic4,15.819099008778077,23.823382149974336,4.863427659554855,37.72729990241349
Morph-3,360p,Traffic5,18.0122927362584,72.30313385010226,4.70071508991526,96.6051213688915
Morph-3,480p,Traffic1,10.359364558007703,119.75547845487012,9.05708213534666,165.3545496386941
Morph-3,480p,Traffic2,10.111179270261054,186.99372271273745,22.284294905664776,269.44413522072136
Morph-3,480p,Traffic3,9.504102213113223,59.09304797602816,13.506277137726986,94.2086756513454
Morph-3,480p,Traffic4,9.296660225980023,39.95293878455412,8.746251766628102,64.74418839567807
Morph-3,480p,Traffic5,10.442314394055108,122.73367997544113,7.994593422976262,166.13649273657933
Morph-3,720p,Traffic1,5.332596038118933,224.4108469672501,17.39811571856256,305.40638356632553
Morph-3,720p,Traffic2,4.406950873449989,429.65402996883495,65.21455335424972,626.1077589677298
Morph-3,720p,Traffic3,5.02040995710584,105.45346063486068,31.108752570115012,173.1763343262137
Morph-3,720p,Traffic4,4.331041875612719,84.00552458543098,20.370521875272956,135.98691731673898
Morph-3,720p,Traffic5,4.657155755502852,273.3819443747052,21.94634581584245,370.07598834030796
Morph-5,1080p,Traffic1,1.7698272212661434,677.7084751760704,41.82881499337958,876.270402368682
Morph-5,1080p,Traffic2,1.7917690099779942,1009.9470076974249,128.44427236553742,1366.083479959867
Morph-5,1080p,Traffic3,1.7604252264470468,300.6545302597224,85.99085952353198,466.47609846648993
Morph-5,1080p,Traffic4,1.4892835108406077,242.49111528880894,51.29320484847993,356.6503490912146
Morph-5,1080p,Traffic5,1.5925442332106894,790.0072348891408,57.557960562640744,1009.4157342173276
Morph-5,120p,Traffic1,172.098925254487,7.366270326834579,0.7449012439464546,12.73475503147341
Morph-5,120p,Traffic2,170.6274361957353,11.194478994468135,1.3970687499385341,19.91524888091945
Morph-5,120p,Traffic3,169.13634881289263,3.302212130802192,0.2124351051170117,5.446761601837326
Morph-5,120p,Traffic4,149.52173779981467,2.5133671889197853,0.6714023901149454,4.944537726696563
Morph-5,120p,Traffic5,156.28696649889116,8.51599776779761,0.7005604877485275,15.402078658284093
Morph-5,1440p,Traffic1,1.113773215153286,1074.9359289280837,77.65718945022667,1402.6297328353394
Morph-5,1440p,Traffic2,1.300985389593501,1399.0469507131493,225.99642366752954,1917.9498712185887
Morph-5,1440p,Traffic3,0.9707722591205159,544.9167780418065,217.53154590458144,897.8127879027743
Morph-5,1440p,Traffic4,0.8556691941687093,413.7769044007873,103.18780112668173,625.177309333405
Morph-5,1440p,Traffic5,1.095025006038407,1118.0499299969524,139.62056645698607,1470.4776825319277
