Category,Traffic Video,Resolution,M,K,A,T,Best Score
1 - Best per Video,Traffic1,120p,M5,K3,A0.1_,T0.9,0.9286
1 - Best per Video,Traffic2,120p,M5,K3,A0.1_,T0.9,0.944
1 - Best per Video,Traffic3,120p,M5,K2,A0.1_,T0.9,0.968
1 - Best per Video,Traffic4,120p,M5,K2,A0.1_,T0.9,0.8571
1 - Best per Video,Traffic5,120p,M5,K2,A0.1_,T0.9,0.9288
2 - Best per Resolution,Traffic3,120p,M5,K2,A0.1_,T0.9,0.968
2 - Best per Resolution,Traffic1,240p,M5,K4,A0.1_,T0.9,0.9262
2 - Best per Resolution,Traffic1,360p,M5,K4,A0.1_,T0.9,0.9219
2 - Best per Resolution,Traffic1,480p,M5,K4,A0.1_,T0.9,0.9191
3 - Best per M size,Traffic5,480p,M3,K4,A0.1_,T0.9,0.9022
3 - Best per M size,Traffic3,120p,M4,K2,A0.1_,T0.9,0.9291
3 - Best per M size,Traffic3,120p,M5,K2,A0.1_,T0.9,0.968
4 - Absolute Best Overall,Traffic3,120p,M5,K2,A0.1_,T0.9,0.968
